ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
911082,,"Architektonische Pläne, Aufrisse und Einzelheiten"";"",Chalgrin, Jean François Thérèse",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,,
916003,,"Folge: Ansichten der Wohn- und Gartengebäude und der Kirche in Kuskow im Besitze des Grafen P. v. Scheremetew"";"",Laurent, Pierre François (père)",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,vor 1784?,
