ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2109839,VAG 01074.3,"Abguss""; Kopie des Originalabgusses;",",VAMAbformungen","Gips"";"" Originalmaterial: weißer Marmor, weiß",Allgemein,Mitte 4. Jt. v. Chr.,
2109839,VAG 01074.3,"Abguss""; Kopie des Originalabgusses;",",VAMAbformungen","Gips"";"" Originalmaterial: weißer Marmor, weiß",Allgemein,Späte Uruk-Zeit,
2110132,VAG 01074.4,"Abguss""; Kopie des Originalabgusses;",",VAMAbformungen","Gips"";"" Originalmaterial: weißer Marmor, weiß",Allgemein,Mitte 4. Jt. v. Chr.,
2110132,VAG 01074.4,"Abguss""; Kopie des Originalabgusses;",",VAMAbformungen","Gips"";"" Originalmaterial: weißer Marmor, weiß",Allgemein,Späte Uruk-Zeit,
2109898,VAG 01074.5,"Abguss""; Kopie des Originalabgusses;",",VAMAbformungen","Gips"";"" Originalmaterial: weißer Marmor, weiß",Allgemein,Mitte 4. Jt. v. Chr.,
2109898,VAG 01074.5,"Abguss""; Kopie des Originalabgusses;",",VAMAbformungen","Gips"";"" Originalmaterial: weißer Marmor, weiß",Allgemein,Späte Uruk-Zeit,
